publicationID,subjects,references,year
8db05c21,machine learning models for pandemic forecasting,,1996
368ac66d,microbiome-host interactions in immunity,8db05c21,1993
4b17c2cc,genetic epidemiology of rare diseases,8db05c21;368ac66d,2021
4d03d335,quantum entanglement experiments,4b17c2cc;368ac66d;8db05c21,2015
eb95d640,evolutionary algorithms for design optimization,368ac66d;8db05c21,2018
4ebca397,high energy cosmic ray detection,368ac66d;eb95d640,1998
efce38ff,privacy-preserving machine learning techniques,eb95d640;368ac66d;4ebca397;4d03d335;4b17c2cc,1998
ed820df6,renewable energy integration into smart grids,eb95d640;368ac66d,2006
09f4940e,explainable AI for healthcare applications,4b17c2cc;8db05c21;eb95d640,1996
e74724a2,additive manufacturing of aerospace parts,eb95d640;368ac66d,2003
80125941,AI models for disaster risk management,4b17c2cc;4ebca397;ed820df6;e74724a2,2004
18093eb2,carbon sequestration in mangrove ecosystems,e74724a2;09f4940e;80125941;ed820df6,1993
c8835004,tumor microenvironment modeling,e74724a2;ed820df6;efce38ff;4b17c2cc,2017
81c489f3,wildfire prediction using satellite imagery,8db05c21;368ac66d;e74724a2;4d03d335,1991
fa691a07,pollen dispersal modeling in urban environments,4d03d335;8db05c21,2011
2fdc5672,additive manufacturing of aerospace parts,4ebca397;e74724a2;c8835004,1993
348620df,symbolic regression using neural networks,8db05c21;c8835004;ed820df6;18093eb2,2023
554f04a9,cryptocurrency adoption in developing economies,c8835004,2009
86e265c7,protein folding prediction with AI,e74724a2;fa691a07,1992
98c4550a,drone-based delivery system optimization,efce38ff;c8835004,1996
dbba747c,digital humanities text mining methods,348620df;efce38ff;554f04a9;4b17c2cc,2015
8f513786,wearable biosensors for chronic disease management,98c4550a;80125941,2016
b2d9df6e,particle physics beyond the standard model,8f513786;dbba747c,2004
01d738ae,privacy-preserving machine learning techniques,8db05c21;09f4940e,2006
26b49673,technological innovation in ancient civilizations,4d03d335;b2d9df6e;c8835004;ed820df6;8db05c21,2002
4e2f76d1,psychological impacts of long-term space travel,8f513786,2011
055bb072,wildfire prediction using satellite imagery,8db05c21;554f04a9;81c489f3;8f513786,2014
a926da26,conservation genomics for endangered species,01d738ae,2009
5aa05050,robotic swarms for agricultural monitoring,e74724a2;26b49673;efce38ff;4d03d335;ed820df6,2000
5d01df9d,social network analysis in political movements,26b49673,2001
0ed9aaf4,cyber-physical security for industrial systems,b2d9df6e;554f04a9;5d01df9d;eb95d640;18093eb2,2001
1adf50fe,gamification strategies in education,4b17c2cc;efce38ff,1996
756be6f5,deepfake detection algorithms,fa691a07;a926da26;1adf50fe;c8835004;5d01df9d,2013
cdbceee0,reinforcement learning in robotics,09f4940e;2fdc5672;80125941;efce38ff;4e2f76d1,2022
651c2283,privacy-preserving machine learning techniques,348620df;26b49673;368ac66d;efce38ff,2007
2bd13217,protein folding prediction with AI,eb95d640;4d03d335;a926da26,2012
8ae9a043,philosophy of mind and consciousness,4ebca397;81c489f3,1991
34792c7d,solar radiation management techniques,554f04a9;86e265c7,1996
805077b4,synthetic media and misinformation,651c2283;ed820df6;cdbceee0;dbba747c,1997
af6c54d7,robotic swarms for agricultural monitoring,eb95d640;8ae9a043,2008
7d761ea5,machine learning models for pandemic forecasting,af6c54d7,2021
49a82f3d,remote sensing for archaeological site discovery,8ae9a043;26b49673;4b17c2cc,1998
605fa80e,immunotherapy treatments for melanoma,80125941;5d01df9d;4d03d335;4e2f76d1;b2d9df6e,1998
4443162d,autonomous ship navigation systems,0ed9aaf4;eb95d640,2012
04d6af4e,neuroscience of social behavior,4d03d335;cdbceee0;01d738ae,2007
de381482,permafrost thaw and greenhouse gas emissions,18093eb2;dbba747c,2002
65100158,symbolic regression using neural networks,49a82f3d;a926da26;34792c7d;80125941;81c489f3,2000
56e28d2b,economic inequalities in digital access,86e265c7,2014
a0b13ed3,gravitational wave astronomy with LIGO,98c4550a;4443162d;7d761ea5;ed820df6,1998
d2474297,VR therapy for PTSD treatment,4b17c2cc;2fdc5672;cdbceee0,1993
b2040ca8,technological innovation in ancient civilizations,ed820df6;4b17c2cc;8ae9a043;651c2283;805077b4,2008
4dd834ae,multimodal learning with text and images,554f04a9;56e28d2b;b2d9df6e;01d738ae,2004
e1d1ca20,hydrological modeling under climate change,4b17c2cc;4443162d,1993
b1b216d3,graph neural networks in chemistry,7d761ea5;805077b4;a0b13ed3;756be6f5,2020
87b4f827,single-cell RNA sequencing analysis,af6c54d7,2003
ff3b173d,economic inequalities in digital access,26b49673,2005
21e5a8b6,impact of ocean acidification on coral reefs,86e265c7;554f04a9;efce38ff;5aa05050,2011
5d8be6d7,transformer models for language translation,4b17c2cc;348620df;a0b13ed3;8db05c21,1995
3e1a0857,wildfire prediction using satellite imagery,2fdc5672;ed820df6;8ae9a043;80125941,1991
e9dc1055,neuroscience of social behavior,368ac66d,2021
20e96ae0,advances in superconducting materials,055bb072,1995
f6a821dd,AI models for disaster risk management,09f4940e,2023
9ccf0f05,genetic epidemiology of rare diseases,f6a821dd;ed820df6;04d6af4e,2002
247de265,digital twin technology in manufacturing,3e1a0857;605fa80e;756be6f5,2010
2ad397ab,cognitive biases in decision making,af6c54d7;651c2283;2fdc5672,1999
12d531a5,multimodal learning with text and images,8db05c21,2007
fc53f8f9,wireless power transfer in electric vehicles,c8835004;8ae9a043,2016
ddee0093,dark energy survey methods,368ac66d;055bb072;21e5a8b6;247de265,1990
bb637e50,autonomous ship navigation systems,2fdc5672;247de265;348620df;5d8be6d7;de381482,2002
6c902c70,deepfake detection algorithms,5d8be6d7;a0b13ed3;b2040ca8,1994
275c4c6f,additive manufacturing of aerospace parts,09f4940e;8f513786;dbba747c,2001
22db8254,edge computing for smart cities,1adf50fe;2bd13217;12d531a5;247de265;98c4550a,2014
5cfec4af,advances in superconducting materials,247de265;01d738ae,1997
7f1a0b84,permafrost thaw and greenhouse gas emissions,5d8be6d7;fc53f8f9;f6a821dd;80125941,2021
430de0e2,wireless power transfer in electric vehicles,87b4f827;ddee0093;805077b4,2000
897c0dd5,carbon sequestration in mangrove ecosystems,eb95d640,2000
dac12876,VR therapy for PTSD treatment,055bb072;34792c7d,1997
c50b13d9,adversarial attacks on deep learning systems,7f1a0b84,2023
0ddd3bf7,cognitive biases in decision making,c8835004;81c489f3;275c4c6f;247de265,2015
ed9c963d,wireless power transfer in electric vehicles,8ae9a043;eb95d640;01d738ae;c50b13d9,2012
b0257079,blockchain applications in supply chain management,ddee0093,2017
8886624a,digital twin technology in manufacturing,0ddd3bf7;ed9c963d;81c489f3,1998
8bafacba,neuroscience of social behavior,7f1a0b84,1998
